capture_id,source_key,document_number,document_title,gazette_issue,published_at,official_viewer_url,relative_path,mime_type,byte_length,sha256,captured_at,captured_at_precision,response_headers_status,response_headers_sha256,rights_status,validation_status
"CAP-GAZETTE-2017-114","gazette.speculation-area-captures","기획재정부공고 제2017-114호","주택 지정지역 지정","제19065호","2017-08-03","https://www.gwanbo.go.kr/ezpdf/customLayout.jsp?contentId=00000000000000001501638116160000&tocId=00000000000000001501638232836000&isTocOrder=N","gazette/2017-114.pdf","application/pdf","377374","sha256:2ff1852bee51dbffa93ad59f174c2dab05fbb2d8b8b35fe17a78ff2511230af9","2026-07-17","DATE_ONLY","NOT_RETAINED","","ALLOWED","PDF_RENDERED_AND_VISUALLY_VERIFIED"
"CAP-GAZETTE-2018-151","gazette.speculation-area-captures","기획재정부공고 제2018-151호","주택 지정지역 지정","제19327호","2018-08-28","https://www.gwanbo.go.kr/ezpdf/customLayout.jsp?contentId=00000000000000001535332738366000&tocId=00000000000000001535332746184000&isTocOrder=N","gazette/2018-151.pdf","application/pdf","641483","sha256:3643c6ae0cbb7fa85441964786c1be020240dcbf25e97a26cc627f6d6af5d908","2026-07-17","DATE_ONLY","NOT_RETAINED","","ALLOWED","PDF_RENDERED_AND_VISUALLY_VERIFIED"
"CAP-GAZETTE-2022-189","gazette.speculation-area-captures","기획재정부공고 제2022-189호","부동산 지정지역 해제공고문","제20340호","2022-09-26","https://www.gwanbo.go.kr/ezpdf/customLayout.jsp?contentId=I0000000000000001663813939608000&tocId=I0000000000000001663737097129000&isTocOrder=N","gazette/2022-189.pdf","application/pdf","58756","sha256:e54ac0bfe1196f2efdc9002e54a67aaedb801d80341d701e8cc417386e330f84","2026-07-17","DATE_ONLY","NOT_RETAINED","","ALLOWED","PDF_RENDERED_AND_VISUALLY_VERIFIED"
"CAP-GAZETTE-2023-001","gazette.speculation-area-captures","기획재정부공고 제2023-1호","부동산 지정지역 해제공고문","제20412호","2023-01-05","https://www.gwanbo.go.kr/ezpdf/customLayout.jsp?contentId=I0000000000000001672731198044000&tocId=I0000000000000001672647423892000&isTocOrder=N","gazette/2023-001.pdf","application/pdf","66231","sha256:fb9934260e5eeea8a662601dab9c8e7ea69d07bcfdcc5ad8625f990b9c1fa475","2026-07-17","DATE_ONLY","NOT_RETAINED","","ALLOWED","PDF_RENDERED_AND_VISUALLY_VERIFIED"
